PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(µS),TRX_LAYER_ARRIVAL_TIME(µS),NW_LAYER_ARRIVAL_TIME(µS),MAC_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_START_TIME(µS),PHY_LAYER_END_TIME(µS),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
231,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4600000.000,4600000.000,4600023.080,4600023.080,4600023.080,4600041.160,4600046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,33940,36802,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4600046.160,4600046.160,4600046.160,4600046.160,4600051.440,4600056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,36962,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4600046.160,4600056.440,4600056.440,4600056.440,4600061.720,4600066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,36962,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
232,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4620000.000,4620000.000,4620000.000,4620000.000,4620000.000,4620018.080,4620023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,34100,36962,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
232,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4620000.000,4620000.000,4620023.080,4620023.080,4620023.080,4620041.160,4620046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,34100,36962,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4620046.160,4620046.160,4620046.160,4620046.160,4620051.440,4620056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,37122,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4620046.160,4620056.440,4620056.440,4620056.440,4620061.720,4620066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,37122,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
233,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4640000.000,4640000.000,4640000.000,4640000.000,4640000.000,4640018.080,4640023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,34260,37122,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
233,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4640000.000,4640000.000,4640023.080,4640023.080,4640023.080,4640041.160,4640046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,34260,37122,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4640046.160,4640046.160,4640046.160,4640046.160,4640051.440,4640056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,37282,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4640046.160,4640056.440,4640056.440,4640056.440,4640061.720,4640066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,37282,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
234,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4660000.000,4660000.000,4660000.000,4660000.000,4660000.000,4660018.080,4660023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,34420,37282,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
234,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4660000.000,4660000.000,4660023.080,4660023.080,4660023.080,4660041.160,4660046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,34420,37282,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4660046.160,4660046.160,4660046.160,4660046.160,4660051.440,4660056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,37442,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4660046.160,4660056.440,4660056.440,4660056.440,4660061.720,4660066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,37442,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
235,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4680000.000,4680000.000,4680000.000,4680000.000,4680000.000,4680018.080,4680023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,34580,37442,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
235,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4680000.000,4680000.000,4680023.080,4680023.080,4680023.080,4680041.160,4680046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,34580,37442,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4680046.160,4680046.160,4680046.160,4680046.160,4680051.440,4680056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,37602,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
